IncidentID,AgencyORI,AgencyName,IncidentStatusDesc,County,RdwyNumber,Street,RoadwayName,StreetSfx,StreetDir,IntersectionRdwy,IntersectionRdwyName,BetweenStRdwy1,BetweenStRdwyName1,BetweenStRdwy2,BetweenStRdwyName2,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,RampFromRdwyId,RampToRdwyId,AcceptedDate,IsSecondaryCollision,OwnerBadge,IncidentStatus,InjurySeverityCde,KABCO_Code,KABCO,Environmental_Factors,Human_Factors,Vehicular_Factors
28069857,0050000,BARREN COUNTY SHERIFF DEPT.,Accepted,BARREN,KY0090,11820,BURKESVILLE,RD,,,,,,,,36.89916675,-85.74752826,21.684,4/29/2021,607,2,2,0,0,CLOUDY,WET,FALSE,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR TO REAR,CURVE & GRADE,DAWN,,,44315.34651,FALSE,170,Accepted,5,5,O,,INATTENTION,
28078720,0050100,GLASGOW POLICE DEPARTMENT,Accepted,BARREN,,,CHERRY,ST,W,,WALL,,,,,37.00809865,-85.92138287,0.067,4/29/2021,1230,2,2,0,0,CLOUDY,DRY,FALSE,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & GRADE,DAYLIGHT,,,44317.81145,FALSE,2240,Accepted,5,5,O,,INATTENTION,
28078721,0050100,GLASGOW POLICE DEPARTMENT,Accepted,BARREN,US0031E,,L ROGERS WELLS,BLVD,S,,CROSS,,,,,37.00024338,-85.92730976,14.124,5/1/2021,850,2,2,0,0,CLEAR,DRY,FALSE,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,44317.81149,FALSE,2240,Accepted,5,5,O,,INATTENTION,
28090394,0050000,BARREN COUNTY SHERIFF DEPT.,Accepted,BARREN,LN9008,,LN9008 W,,,,,,,,,36.99132549,-85.97383566,9.09,4/27/2021,1616,3,3,0,0,CLEAR,DRY,FALSE,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,,,44320.62181,FALSE,174,Accepted,5,5,O,DEBRIS IN ROADWAY,,LOAD SECUREMENT
28090395,0050000,BARREN COUNTY SHERIFF DEPT.,Accepted,BARREN,US0031E,,SCOTTSVILLE,RD,,,,,,,,36.94897454,-85.96899507,9.685,4/27/2021,1650,2,2,0,0,CLEAR,DRY,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,44320.62189,FALSE,174,Accepted,5,5,O,,"EMOTIONAL, FOLLOWING TOO CLOSE, NOT UNDER PROPER CONTROL",
28090396,0050000,BARREN COUNTY SHERIFF DEPT.,Accepted,BARREN,US0031E,,SCOTTSVILLE,RD,,,,,,,,36.86594768,-86.03942098,2.388,4/24/2021,1721,1,1,0,1,CLOUDY,WET,FALSE,RAN OFF ROADWAY (1 VEHICLE WITH/EARTH EMBANKMENT/DITCH),SINGLE VEHICLE,STRAIGHT & GRADE,DAYLIGHT,,,44320.62195,FALSE,174,Accepted,3,3,B,SLIPPERY SURFACE,NOT UNDER PROPER CONTROL,
28090403,0050000,BARREN COUNTY SHERIFF DEPT.,Accepted,BARREN,LN9008,,LN9008 W,,,,,,,,,37.05104866,-86.09664356,1.003,5/4/2021,553,1,1,0,0,RAINING,WET,FALSE,RAN OFF ROADWAY (1 VEHICLE WITH/EARTH EMBANKMENT/DITCH),SINGLE VEHICLE,CURVE & LEVEL,DAWN,,,44320.62212,FALSE,170,Accepted,5,5,O,"SLIPPERY SURFACE, WATER POOLING",,
28092698,0050100,GLASGOW POLICE DEPARTMENT,Accepted,BARREN,US0031E,,L ROGERS WELLS,BLVD,N,,ROGERS,,,,,37.00377231,-85.92552041,14.341,4/23/2021,2010,2,1,0,0,CLEAR,DRY,FALSE,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,44321.12733,FALSE,2264,Accepted,5,5,O,,INATTENTION,
28094166,0050100,GLASGOW POLICE DEPARTMENT,Accepted,BARREN,,,FRONT,ST,W,,GREEN,,,,,36.9980141,-85.91182477,0.14,4/24/2021,1516,2,2,0,0,RAINING,WET,FALSE,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & GRADE,DAYLIGHT,,,44321.49888,FALSE,2246,Accepted,5,5,O,,INATTENTION,
28094173,0050100,GLASGOW POLICE DEPARTMENT,Accepted,BARREN,KY0249,,BUNCHE,AVE,,,LEWIS,,,,,36.98894267,-85.91346329,16.048,4/26/2021,1606,2,2,0,1,CLEAR,DRY,FALSE,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,44321.49905,FALSE,2249,Accepted,5,4,C,,FAILED TO YIELD RIGHT OF WAY,
28094177,0050100,GLASGOW POLICE DEPARTMENT,Accepted,BARREN,US0031EX,,RACE,ST,N,,CHERRY,,,,,37.00162732,-85.90944565,1.927,4/29/2021,2221,2,2,0,0,CLEAR,DRY,FALSE,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,44321.49912,FALSE,48,Accepted,5,5,O,,"ALCOHOL INVOLVEMENT, FAILED TO YIELD RIGHT OF WAY",
28094178,0050100,GLASGOW POLICE DEPARTMENT,Accepted,BARREN,US0031E,,L ROGERS WELLS,BLVD,N,,SMITH,,,,,37.00584745,-85.92449458,14.439,4/30/2021,1349,2,2,0,0,CLEAR,DRY,FALSE,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,44321.49919,FALSE,2249,Accepted,5,5,O,,FAILED TO YIELD RIGHT OF WAY,
28096001,0050100,GLASGOW POLICE DEPARTMENT,Accepted,BARREN,KY0090,,HAPPY VALLEY,RD,,,BEAVER,,,,,37.02652181,-85.93803843,8.421,5/4/2021,1452,2,2,0,0,CLOUDY,DRY,FALSE,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,44321.81309,FALSE,2273,Accepted,5,5,O,,"FAILED TO YIELD RIGHT OF WAY, MISJUDGE CLEARANCE",
